序号,平台代码,平台名称,行政级别,所在省份,平台URL,状态,备注
1,beijing,北京市公共数据开放平台,省级,北京,https://data.beijing.gov.cn/,运营中,
2,tianjin,天津数港,省级,天津,https://tjdsj.tjcac.gov.cn/,运营中,
3,shanxi,山西省公共数据开放平台,省级,山西,https://data.shanxi.gov.cn,运营中,
4,neimenggu,内蒙古自治区公共数据开放平台,省级,内蒙古,https://data.nmg.gov.cn,运营中,
5,liaoning,辽宁省公共数据开放平台,省级,辽宁,https://data.ln.gov.cn,运营中,
6,jilin,吉林省公共数据开放平台,省级,吉林,https://data.jl.gov.cn,运营中,
7,heilongjiang,黑龙江省公共数据开放平台,省级,黑龙江,https://data.hlj.gov.cn,运营中,
8,shanghai,上海市公共数据开放平台,省级,上海,https://data.sh.gov.cn/old/,运营中,
9,jiangsu,江苏省公共数据开放平台,省级,江苏,https://data.jszwfw.gov.cn:8118,运营中,
10,zhejiang,浙江省公共数据开放平台,省级,浙江,https://data.zjzwfw.gov.cn,运营中,
11,anhui,安徽省公共数据开放平台,省级,安徽,https://data.ahzwfw.gov.cn/dataopen-web/index.html,运营中,
12,fujian,福建省公共数据资源统一开放平台,省级,福建,https://data.fujian.gov.cn,运营中,
13,jiangxi,江西省公共数据开放平台,省级,江西,https://data.jiangxi.gov.cn,运营中,
14,shandong,山东省公共数据开放网,省级,山东,https://data.sd.gov.cn,运营中,
15,henan,河南数据要素市场培育平台,省级,河南,https://hndataops.com/portal/product,运营中,平台转型为运营服务平台
16,hubei,湖北省公共数据开放平台,省级,湖北,https://data.hubei.gov.cn,运营中,
17,hunan,湖南省政务数据开放平台,省级,湖南,https://data.hunan.gov.cn,运营中,
18,guangdong,广东省数据资源一网共享平台,省级,广东,https://gddata.gd.gov.cn,运营中,
19,guangxi,广西壮族自治区公共数据开放平台,省级,广西,https://data.gxzf.gov.cn,运营中,
20,hainan,海南省数据产品超市,省级,海南,https://data.hainan.gov.cn,运营中,
21,chongqing,重庆市公共数据开放平台,省级,重庆,https://data.dsjj.cq.gov.cn,运营中,
22,sichuan,四川省公共数据开放平台,省级,四川,https://www.scdata.net.cn,运营中,
23,guizhou,贵州省数据开放平台,省级,贵州,https://data.guizhou.gov.cn,运营中,
24,yunnan,云南省数据登记中心,省级,云南,https://data.yn.gov.cn/sjdj,运营中,平台转型为登记平台
25,xizang,西藏自治区公共数据开放平台,省级,西藏,https://data.xizang.gov.cn,运营中,
26,shaanxi,陕西省公共数据开放平台,省级,陕西,https://data.shaanxi.gov.cn,运营中,
27,gansu,甘肃省公共数据开放平台,省级,甘肃,https://data.gansu.gov.cn,运营中,
28,qinghai,青海省公共数据开放平台,省级,青海,https://data.qinghai.gov.cn,运营中,
29,ningxia,宁夏回族自治区公共数据开放平台,省级,宁夏,https://data.nx.gov.cn,运营中,
30,xinjiang,新疆维吾尔自治区公共数据开放平台,省级,新疆,https://data.xinjiang.gov.cn,运营中,
31,shenzhen,深圳市公共数据开放平台,副省级,广东,https://opendata.sz.gov.cn,运营中,
32,ningbo,宁波市公共数据开放平台,副省级,浙江,https://data.ningbo.gov.cn,运营中,
33,xiamen,厦门市公共数据开放平台,副省级,福建,https://data.xiamen.gov.cn,运营中,
34,qingdao,青岛市公共数据开放平台,副省级,山东,https://data.qingdao.gov.cn,运营中,
35,dalian,大连市公共数据开放平台,副省级,辽宁,https://data.dl.gov.cn,运营中,
36,shenyang,沈阳市公共数据开放平台,副省级,辽宁,https://data.shenyang.gov.cn,运营中,
37,changchun,长春市公共数据开放平台,副省级,吉林,https://data.changchun.gov.cn,运营中,
38,haerbin,哈尔滨市公共数据开放平台,副省级,黑龙江,https://data.harbin.gov.cn,运营中,
39,nanjing,南京市公共数据开放平台,副省级,江苏,https://data.nanjing.gov.cn,运营中,
40,wuxi,无锡市公共数据开放平台,地级市,江苏,https://data.wuxi.gov.cn,运营中,
41,suzhou,苏州市公共数据开放平台,地级市,江苏,https://data.suzhou.gov.cn,运营中,
42,changzhou,常州市公共数据开放平台,地级市,江苏,https://data.changzhou.gov.cn,运营中,
43,nantong,南通市公共数据开放平台,地级市,江苏,https://data.nantong.gov.cn,运营中,
44,yangzhou,扬州市公共数据开放平台,地级市,江苏,https://data.yangzhou.gov.cn,运营中,
45,xuzhou,徐州市公共数据开放平台,地级市,江苏,https://data.xuzhou.gov.cn,运营中,
46,taizhou_jiangsu,泰州市公共数据开放平台,地级市,江苏,https://data.taizhou.gov.cn,运营中,
47,yancheng,盐城市公共数据开放平台,地级市,江苏,https://data.yancheng.gov.cn,运营中,
48,hangzhou,杭州市公共数据开放平台,地级市,浙江,https://data.hangzhou.gov.cn,运营中,
49,ningbo_city,宁波市公共数据开放平台(市级),地级市,浙江,https://data.ningbo.gov.cn,运营中,
50,wenzhou,温州市公共数据开放平台,地级市,浙江,https://data.wenzhou.gov.cn,运营中,
51,jiaxing,嘉兴市公共数据开放平台,地级市,浙江,https://data.jiaxing.gov.cn,运营中,
52,huzhou,湖州市公共数据开放平台,地级市,浙江,https://data.huzhou.gov.cn,运营中,
53,shaoxing,绍兴市公共数据开放平台,地级市,浙江,https://data.shaoxing.gov.cn,运营中,
54,jinhua,金华市公共数据开放平台,地级市,浙江,https://data.jinhua.gov.cn,运营中,
55,taizhou_zhejiang,台州市公共数据开放平台,地级市,浙江,https://data.taizhou.zj.gov.cn,运营中,
56,zhoushan,舟山市公共数据开放平台,地级市,浙江,https://data.zhoushan.gov.cn,运营中,
57,quzhou,衢州市公共数据开放平台,地级市,浙江,https://data.quzhou.gov.cn,运营中,
58,lishui,丽水市公共数据开放平台,地级市,浙江,https://data.lishui.gov.cn,运营中,
59,hefei,合肥市公共数据开放平台,地级市,安徽,https://data.hefei.gov.cn,运营中,
60,wuhu,芜湖市公共数据开放平台,地级市,安徽,https://data.wuhu.gov.cn,运营中,
61,bengbu,蚌埠市公共数据开放平台,地级市,安徽,https://data.bengbu.gov.cn,运营中,
62,fuzhou,福州市公共数据开放平台,地级市,福建,https://data.fuzhou.gov.cn,运营中,
63,xiamen_city,厦门市公共数据开放平台(市级),地级市,福建,https://data.xiamen.gov.cn,运营中,
64,quanzhou,泉州市公共数据开放平台,地级市,福建,https://data.quanzhou.gov.cn,运营中,
65,nanchang,南昌市公共数据开放平台,地级市,江西,https://data.nanchang.gov.cn,运营中,
66,jinan,济南市公共数据开放平台,地级市,山东,https://data.jinan.gov.cn,运营中,
67,qingdao_city,青岛市公共数据开放平台(市级),地级市,山东,https://data.qingdao.gov.cn,运营中,
68,yantai,烟台市公共数据开放平台,地级市,山东,https://data.yantai.gov.cn,运营中,
69,weifang,潍坊市公共数据开放平台,地级市,山东,https://data.weifang.gov.cn,运营中,
70,zhengzhou,郑州市公共数据开放平台,地级市,河南,https://data.zhengzhou.gov.cn,运营中,
71,luoyang,洛阳市公共数据开放平台,地级市,河南,https://data.luoyang.gov.cn,运营中,
72,kaifeng,开封市公共数据开放平台,地级市,河南,https://data.kaifeng.gov.cn,运营中,
73,wuhan,武汉市公共数据开放平台,地级市,湖北,https://data.wuhan.gov.cn,运营中,
74,xiangyang,襄阳市公共数据开放平台,地级市,湖北,https://data.xiangyang.gov.cn,运营中,
75,yichang,宜昌市公共数据开放平台,地级市,湖北,https://data.yichang.gov.cn,运营中,
76,changsha,长沙市公共数据开放平台,地级市,湖南,https://data.changsha.gov.cn,运营中,
77,zhuzhou,株洲市公共数据开放平台,地级市,湖南,https://data.zhuzhou.gov.cn,运营中,
78,guangzhou,广州市公共数据开放平台,地级市,广东,https://data.gz.gov.cn,运营中,
79,shenzhen_city,深圳市公共数据开放平台(市级),地级市,广东,https://opendata.sz.gov.cn,运营中,
80,foshan,佛山市公共数据开放平台,地级市,广东,https://data.foshan.gov.cn,运营中,
81,dongguan,东莞市公共数据开放平台,地级市,广东,https://data.dongguan.gov.cn,运营中,
82,zhuhai,珠海市公共数据开放平台,地级市,广东,https://data.zhuhai.gov.cn,运营中,
83,zhongshan,中山市公共数据开放平台,地级市,广东,https://data.zhongshan.gov.cn,运营中,
84,huizhou,惠州市公共数据开放平台,地级市,广东,https://data.huizhou.gov.cn,运营中,
85,jieyang,揭阳市公共数据开放平台,地级市,广东,https://data.jieyang.gov.cn,运营中,
86,jiangmen,江门市公共数据开放平台,地级市,广东,https://data.jiangmen.gov.cn,运营中,
87,zhaoqing,肇庆市公共数据开放平台,地级市,广东,https://data.zhaoqing.gov.cn,运营中,
88,chengdu,成都市公共数据开放平台,地级市,四川,https://data.chengdu.gov.cn,运营中,
